OaEnth
RaEnth
OaDstSpt
OaDst
OaEnthOk
OaDstOk
SaRhOk
RaEnthOk
OaSmkOk
OaEnthSpt
OaSmkDet
SaRhHlmt
Ch1Loc
ChAlmDly
PchwP2AlmRst
SchwP3AlmRst
SchwP4AlmRst
ShwP8AlmRst
ShwP9AlmRst
ShwP9Alm
ShwP8Alm
Ch1Alm
Ch2Alm
SchwP3Alm
SchwP4Alm
Ch1AlmRst
Ch2AlmRst
PchwP1Alm
PchwP2Alm
PchwSTmpAlm
PchwP1AlmRst
ChwSTmpAlm
SchwSTmpAlm
SchwBothPAlm
ChwDifPrAlmDly
ChwDifPrAlm
ChStgReq
Ch2Loc
ChFzMd
ChLg
ChLd
ChwDifPrSpt
ChEna
ChwRTmpSpt
ChwRTmpSptDb
ChwSTmpSpt
ChwSTmpSptDb
ChwSysLocSpt
ChEnaSpt
ChCall
SchwSTmpHi
SchwSTmpLo
ChStg1Dof
ChStg2Dof
ChStg1Don
ChStg2Don
LdSwDay
LdSwTm
ChRst
SchwSTmp
Ch1Rt
Ch2Rt
ChStg3Dof
ChStg3Don
ChDon
ChDof
ChFzMdSpt
Ch1Loc
SchwSTmpSptHi
SchwSTmpSptLo
ChwPDof
PchwP1Rst
SchwPLd
PchwP1Rt
PchwP2Rt
SchwP3Rt
SchwP4Rt
SchwP3SpdMax
SchwP3SpdMin
SchwP4SpdMin
SchwP4SpdMax
SchwFlPct
ChwDifPrSpt
ChwSysEna
ChwLocSpt
ChwSysAvl
ChwSysEnaSpt
FzMdDly
FzMdSptDb
PhwP5AlmRst
PhwP6AlmRst
PhwP7AlmRst
ShwP9AlmRst
ShwP8AlmRst
HwDifPrAlmDly
CbaFan1Alm
CbaFan2Alm
PhwP5Alm
PhwP6Alm
PhwP7Alm
ShwP8Alm
ShwP9Alm
HwSTmpSptAlm
HwBothPAlm
HwDifPrAlm
PhwSTmpSpt
BlrCall
BlrFzMd
BlrNumReq
BlrLg
BlrLd
Blr1STmpAlm
Blr2STmpAlm
Blr1Rt
Blr2Rt
Blr3STmpAlm
BlrRmTmpAlm
BlrBkp
Blr3Rt
BlrDof
BlrStg1OaTmpSpt
BlrStg2OaTmpSpt
BlrStg3OaTmpSpt
BlrStg1Don
BlrStg2Don
BlrStg3Don
BlrDon
Blr1STmpSpt
Blr2STmpSpt
Blr3STmpSpt
HwSTmpSptDb
Blr1Loc
Blr2Loc
Blr3Loc
BlrPDof
BlrAcycDly
BlrSTmpSptDb
BlrFzMdSpt
CbaLd
HwDifPrSpt
PhwPDof
ShwPLd
ShwPSpdSpt
PhwP5Rt
PhwP6Rt
PhwP7Rt
ShwP8Rt
ShwP9Rt
LdSwDay
LdSwTm
ShwPLgDisSpd
ShwPLgEnaSpd
ShwPLgDof
ShwPLgDon
HwPSpdMax
HwPSpdMin
HwSysAvl
HwSysLocSpt
StptCoolerAlm
StptCoolerAlmDB
ClrTmpAlmDly
StptFreezerAlm
StptFreezerAlmDB
StptFreezerAlmDl
xAhu1HdFanSts
xAhu1CdFanSts
xAhu2HdFanSts
xAhu2CdFanSts
xAhu3HdFanSts
xAhu3CdFanSts
xOaTmp
xAhu4SaFanSts
xAhu4HtgCall
xAhu4ClgCall
xAhu5SaFanSts
xAhu5HtgCall
xAhu5ClgCall
xAhu6SaFanSts
xAhu6HtgCall
xAhu6ClgCall
xAhu2SaStPr
xAhu2SaStPrHlmtSw
xAhu2SaFanSpd
AHUOccupied
CafeteriaOcc
EFOccupied
GreenWingOcc
GymOcc
KitchenOcc
OfficeAHUOcc
OccBldg
Occupied
ZnARmTmpMax
ZnARmTmpMin
ZnBRmTmpMax
ZnBRmTmpMin
ZnCRmTmpMax
ZnCRmTmpMin
ZnDRmTmpMax
ZnDRmTmpMin
ZnKRmTmpMax
ZnKRmTmpMin
ZnLRmTmpMax
ZnLRmTmpMin
ZnMRmTmpMax
ZnMRmTmpMin
ZnNRmTmpMax
ZnNRmTmpMin
ZnERmTmpMax
ZnFRmTmpMax
ZnHRmTmpMax
ZnJRmTmpMax
ZnAClgSpt
ZnARmTmps
Ahu1RmTmpMax
Ahu1RmTmpMin
Ahu2RmTmpMax
Ahu2RmTmpMin
Ahu3RmTmpMax
Ahu3RmTmpMin
ZnERmTmpMin
ZnFRmTmpMin
ZnHRmTmpMin
ZnJRmTmpMin
AreaHSpaceCStpts
AreaHSpaceTemps
Ahu1BlrCall
Ahu2BlrCall
Ahu3BlrCall
Ahu4BlrCall
Ahu5BlrCall
Ahu6BlrCall
Ahu1ChCall
Ahu2ChCall
Ahu3ChCall
Ahu4ChCall
Ahu5ChCall
Ahu6ChCall
Ahu1HtgErr
BldgHtgErrSpt
BldgHtgErrSptDb
ZnAHtgErr
ZnBHtgErr
ZnCHtgErr
ZnDHtgErr
Ahu2HtgErr
ZnKHtgErr
ZnLHtgErr
ZnMHtgErr
ZnNHtgErr
Ahu3HtgErr
ZnEHtgErr
ZnFHtgErr
ZnHHtgErr
ZnJHtgErr
TlHtgAhuRunning
BldgHtgErr
Ahu1ClgErr
BldgClgErrSpt
BldgClgErrSptDb
ZnAClgErr
ZnBClgErr
ZnCClgErr
ZnDClgErr
Ahu2ClgErr
ZnKClgErr
ZnLClgErr
ZnMClgErr
ZnNClgErr
Ahu3ClgErr
ZnEClgErr
ZnFClgErr
ZnHClgErr
ZnJClgErr
BldgClgErr
FlagPhwP5NIA
EqpRtCurMo
EqpRtCurDay
EqpRtPrevMo
EqpRtPrevDay
xEqpSts
EqpRtTot
EqpRtRst
EqpRtOpt
